,word,count
1621,wrong,1
1622,yah,1
1623,yeah,1
1624,young,1
1625,youth,1
1626,ain,1
1627,air,1
1628,alive,1
1629,amazing,1
1630,arms,1
1631,around,1
1632,away,1
1633,baby,2
1634,back,1
1635,balance,1
1636,body,1
1637,bout,1
1638,boy,16
1639,break,1
1640,cause,6
1641,challenge,1
1642,come,1
1643,could,1
1644,crack,1
1645,day,1
1646,door,1
1647,downtown,5
1648,eight,1
1649,enter,1
1650,every,2
1651,everybody,1
1652,explore,1
1653,figure,1
1654,finish,1
1655,forth,1
1656,get,1
1657,getting,1
1658,girl,7
1659,go,7
1660,gon,1
1661,good,2
1662,got,3
1663,gotta,1
1664,guy,5
1665,heard,1
1666,hey,10
1667,hot,1
1668,jam,1
1669,keeps,1
1670,know,2
1671,knows,2
1672,leave,1
1673,let,3
1674,like,5
1675,lips,1
1676,long,1
1677,looking,5
1678,losing,1
1679,make,1
1680,me,1
1681,mighty,1
1682,mind,1
1683,minutes,1
1684,mouth,1
1685,na,52
1686,name,26
1687,need,5
1688,night,1
1689,nine,1
1690,oh,61
1691,okay,1
1692,ooh,2
1693,out,1
1694,past,1
1695,play,1
1696,point,1
1697,put,5
1698,radio,1
1699,really,10
1700,right,1
1701,rock,1
1702,root,1
1703,say,4
1704,see,5
1705,sixty,1
1706,soft,1
1707,something,2
1708,soon,1
1709,square,1
1710,stay,2
1711,surrender,1
1712,swear,1
1713,take,6
1714,talent,1
1715,text,1
1716,that,1
1717,thing,1
1718,things,1
1719,time,2
1720,took,1
1721,traffic,1
1722,tryin,1
1723,turning,1
1724,twenty,1
1725,type,5
1726,ve,1
1727,waiting,1
1728,wanna,11
1729,want,1
1730,way,1
1731,wear,1
1732,weed,1
1733,what,24
1734,whisper,1
1735,white,1
1736,window,1
1737,wine,1
1738,word,2
1739,work,7
1740,write,1
1741,yeah,3
1742,10,1
1743,50,1
1744,ain,1
1745,and,1
1746,another,3
1747,around,3
1748,ass,1
1749,baby,2
1750,bally,1
1751,bang,4
1752,beast,1
1753,beautiful,1
1754,beauty,1
1755,better,1
1756,blast,1
1757,booty,3
1758,bounce,1
1759,break,2
1760,but,2
1761,buy,3
1762,call,1
1763,care,1
1764,dancefloor,1
1765,deep,1
1766,dime,3
1767,down,2
1768,drop,1
1769,edible,1
1770,everybody,1
1771,fast,2
1772,fifty,1
1773,fire,1
1774,fit,1
1775,flies,1
1776,floor,1
1777,flowing,1
1778,fore,1
1779,get,8
1780,girl,6
1781,go,8
1782,going,1
1783,gon,5
1784,gonna,1
1785,got,2
1786,grind,3
1787,headed,1
1788,heard,1
1789,heaven,1
1790,hickey,1
1791,higher,1
1792,hips,2
1793,hit,2
1794,hour,1
1795,hourglass,1
1796,incredible,1
1797,independent,1
1798,it,2
1799,jeremih,1
1800,jumping,1
1801,keep,1
1802,know,2
1803,leash,1
1804,let,2
1805,lets,1
1806,lick,3
1807,like,4
1808,liquor,1
1809,ll,4
1810,lock,1
1811,lonely,3
1812,long,3
1813,look,3
1814,looking,3
1815,love,3
1816,make,2
1817,momma,1
1818,mound,3
1819,must,1
1820,nine,1
1821,nothing,3
1822,number,1
1823,oh,1
1824,party,2
1825,passed,1
1826,perfect,1
1827,physique,1
1828,poppin,1
1829,pro,3
1830,push,1
1831,put,19
1832,really,4
1833,river,1
1834,rock,1
1835,roll,1
1836,round,3
1837,running,2
1838,say,2
1839,secret,1
1840,see,3
1841,seen,1
1842,sexual,1
1843,shake,1
1844,shaped,1
1845,shit,1
1846,shorty,4
1847,shots,1
1848,show,3
1849,sit,1
1850,slow,1
1851,slowly,1
1852,something,1
1853,start,1
1854,sticky,1
1855,stop,1
1856,stupid,1
1857,sweet,1
1858,systems,1
1859,take,2
1860,tell,2
1861,there,1
1862,thing,1
1863,throw,3
1864,thumping,1
1865,till,2
1866,time,1
1867,treasure,1
1868,trippin,1
1869,twerk,1
1870,up,1
1871,wanna,3
1872,want,6
1873,watch,1
1874,watching,1
1875,way,4
1876,we,4
1877,whimpy,1
1878,won,2
1879,work,7
1880,would,1
1881,wristpiece,1
1882,yo,1
1883,you,2
1884,10,1
1885,admire,2
1886,affected,1
1887,baby,1
1888,back,1
1889,bartending,1
1890,beautiful,2
1891,best,1
1892,blessing,1
1893,body,2
1894,bottles,1
1895,came,1
