Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
04GJGWe4JQjD1gSJu28XhD,"2QKPp6hTeYMCSemGtfAmXx","R&J","R&J","Minus the Light",2022-08-05,333640,10,spotify:user:groovebassment,2022-08-17T23:02:58Z,"",0.737,0.548,0,-12.84,1,0.0526,0.000719,0.848,0.118,0.562,126.989,4
4RQfUOZm8YRMX2FQaTPwWU,"6FXKS5R7VtpGugMIrd7727","Blackout","Blackout","haks",2022-07-04,265365,34,spotify:user:groovebassment,2022-07-09T16:17:52Z,"",0.683,0.833,4,-6.3,0,0.0512,0.0148,0.84,0.0588,0.0806,123.002,4
2m5tHTOG1PSh0OayAhoTrB,"0vkvkNBVrXTfgkuPqI7JgL,3TjaJhMjmHioA1sttepqqh","Demente","Demente","Andres Campo,Ada Byron",2022-04-15,408374,37,spotify:user:groovebassment,2022-05-08T16:16:16Z,"spanish techno",0.797,0.899,1,-6.217,0,0.107,0.147,0.739,0.143,0.0907,140.003,4
5YDbSfN5oKWBoeyf9nBA38,"50ZyjIaVHOy5Xt7FLJ7RZl","Rave","Satellite","Sam Paganini",2014-09-25,405699,55,spotify:user:groovebassment,2022-05-08T16:16:16Z,"deep minimal techno,italian techno,minimal techno,tech house",0.763,0.807,5,-7.399,0,0.044,0.000137,0.909,0.295,0.33,124.989,4
69TLfIfme6fjn3yaZEV4tq,"7t6VUymL8RQKVqKQW9VTLl","Raveline - Edit","Raveline (Edit)","A.D.H.S.",2022-05-06,275831,18,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.594,0.942,6,-8.572,0,0.0441,0.0000803,0.74,0.15,0.202,133.993,4
6M25z3vrIhgqND5fiZxsAm,"59a1Bp0JQfL2mGnpL0lW2Y","Tape Space","Tape Space","Joyhauser",2022-03-11,305670,24,spotify:user:groovebassment,2022-05-08T16:16:16Z,"belgian techno,dark techno,raw techno,tech house",0.641,0.992,11,-8.123,0,0.0746,0.00131,0.904,0.153,0.288,133.977,4
4LQ0pqAmV9SHFG617KpwtI,"5VMXbzLVkLd4Cq4rBzx4T3","Open Up - Original Mix","Open Up","Mha Iri",2022-01-21,432000,45,spotify:user:groovebassment,2022-05-08T16:16:16Z,"scottish techno",0.705,0.944,7,-7.545,0,0.0478,0.114,0.881,0.119,0.382,129.994,4
5aphxAuICROeBWqrc5ASQM,"1yrjiUxFxcXAPUeZnbUrcL","Dreamers of Dreams","Dreamers of Dreams","Four Hands (GER)",2022-08-05,373031,27,spotify:user:groovebassment,2022-08-17T23:09:55Z,"",0.754,0.894,10,-9.577,0,0.0553,0.00728,0.8,0.0643,0.126,130.011,4
37dAvUgGv4bkLc0jTFSFIV,"1Jawgv4EJ23ap4WO59CE25,46nxrb6b8WnVoF3ZUvBCtG","Panic Attack - Original Mix","Space Shuttles","Karim Alkhayat,Goose Tann",2022-06-17,273230,24,spotify:user:groovebassment,2022-06-21T20:36:10Z,"",0.713,0.923,9,-6.856,1,0.068,0.00118,0.808,0.167,0.19,129.986,4
5k0AYWcIQh9DfYhqwbmla9,"4JkX37Ibpb0cJq2IItah0y,5zheoDzRTIhWzE1j1DttZf,6sJJfdZkhHzBYzBWu0my9p","Eyes Closed - Original Mix","Eyes Closed","Sian,Sacha Robotti,Third Culture (USA)",2022-08-12,360000,33,spotify:user:groovebassment,2022-09-17T00:10:58Z,"dark techno,bass house",0.8,0.592,8,-10.102,1,0.0879,0.0322,0.86,0.0932,0.177,128.016,4
3pwR7NyqlMBtKzZJpOezED,"7hvD2Cs8fbF3HvhQCmV3xq","In My Head - Original Mix","In My Head Ep","Lampe",2022-04-29,321013,29,spotify:user:groovebassment,2022-05-08T16:16:16Z,"psytech",0.799,0.749,0,-8.101,1,0.0701,0.00323,0.839,0.0855,0.376,126.013,4
1dE2c7PW2DSRiWMfS2F8Nv,"5BSvQ8klrDFPpCJ3TujFoK","Madness","Madness","Carbon",2022-03-18,405355,13,spotify:user:groovebassment,2022-05-08T16:16:16Z,"melodic techno",0.801,0.842,7,-9.144,1,0.059,0.00171,0.895,0.0911,0.645,127.027,4
2z1eTgub49WD8F7RWBO2Fg,"5Z6jglUTEzwgV5LknPAYDQ","Inner Fire","Venture EP","Amazingblaze",2022-02-25,360780,46,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.595,0.985,11,-5.44,0,0.0491,0.0116,0.933,0.0379,0.274,145.012,4
0drlm1YJdYjxmDKd3Iu3ta,"5AupNa0A0y7pzy6WCCVWeY","Mind's Eye","RAVE: Pt. 2","PRØVOST",2020-12-28,444000,15,spotify:user:groovebassment,2022-08-04T21:53:06Z,"",0.731,0.744,7,-6.352,1,0.0952,0.00431,0.872,0.0562,0.112,129.975,4
3PEBBMKcQLXH8QgqBeFF6k,"1H2DxHEli0yujifO4rvO8k","Ascension","Ascension","DEEPFAKE",2022-08-12,243809,22,spotify:user:groovebassment,2022-08-17T23:12:08Z,"",0.622,0.952,11,-6.603,1,0.0544,0.00497,0.96,0.0752,0.352,125.982,4
